path_index,n4_c0,n4_c5,n4_c20,n16_c0,n16_c5,n16_c20,n64_c0,n64_c5,n64_c20,n256_c0,n256_c5,n256_c20
4359,-132.29413877632146,-139.93042259376944,-162.83927404611109,-32.836860784760574,-42.658998494649921,-72.125411624315603,-1.7919767181080939,-15.992570146607461,-58.594350432075309,6.1485719444189044,-18.612446503799084,-92.895501848451971
4360,8.6424582852869776,-1.5164855017719105,-31.993316862954032,16.305520361826041,3.0540811434148623,-36.700236511811397,-43.266117779281501,-65.235011419750606,-131.14169234118884,-0.46763538073895461,-31.435589457036201,-124.33945168600616
4361,63.871969948887966,53.846918707622137,23.771764983824653,19.074004094610757,4.0361482632357024,-41.077419230894918,-17.919941034051988,-41.527226981900128,-112.34908482544091,9.1329898276904373,-28.321069003548871,-140.68324549728499
4362,4.7206636649548273,-0.52284160717772465,-16.253357423570833,70.040428708548149,62.996592100203152,41.865082275168305,7.5927695671090625,-8.766566770188609,-57.844575782086629,12.177491003001105,-17.936841479319579,-108.27983892624975
4363,63.522769092173121,58.313046556953054,42.683878951291263,20.984936783031884,13.023805652575135,-10.85958773879284,0.77983795647280374,-14.407473623890599,-59.969408364980069,-1.5794086454664236,-30.523954693933145,-117.35759283933861
4364,3.9457203039132196,-3.7815938703816414,-26.963536393264405,58.045824072208632,42.609932950751897,-3.6977404136019345,46.004268262940457,23.195701598864105,-45.229998393346762,8.2633215966356488,-32.151026317579237,-153.39407006025664
4365,-96.990656490188087,-102.20855200832347,-117.86223856272574,9.7343504258530515,-1.0117761457016172,-33.250155860364714,18.305596917527225,-6.0267452574628919,-79.023771782431425,7.6845452946906221,-32.336425585947211,-152.39933822783706
4366,-33.270107556150833,-43.942659397152966,-75.960314920153905,5.5860314267647482,-6.88579846715038,-44.301288148906679,11.463889871722131,-4.9191015265223541,-54.06807572127218,-0.79313411994189664,-26.766584860197327,-104.68693708092542
4367,-2.9349724283151772,-8.7223806371043793,-26.084605263467893,-62.037280884817619,-73.928556557974133,-109.60238357743498,9.4751646100067681,-6.2744695881021153,-53.523372182420523,-15.650188953649945,-47.281575837100426,-142.1757364874596
4368,-68.125827938782436,-79.978765146647106,-115.53757677023566,-5.9686596871273423,-20.345706658969334,-63.476847574506223,-0.87581966438335712,-20.343795966015364,-78.747724870893194,-1.4115922762397304,-31.767865494075863,-122.83668514756789
4369,34.39011874670598,25.99024632518433,0.79062906061756166,42.739155432115354,28.26661205419316,-15.151018079584333,-22.550278334670452,-48.526820769629353,-126.45644807451697,0.098705725362947305,-41.40239753536423,-165.90570731758032
4370,18.173572291761843,7.4844066652511856,-24.583090214279878,14.0060272187892,-2.5620320567433055,-52.266209883329907,0.99705648566111904,-22.578638082603106,-93.305721787403058,7.2581060489009133,-32.257303989803518,-150.80353410590772
4371,76.408997651771813,68.670378118160613,45.454519517328833,-3.8895892233602467,-20.404185932412304,-69.947976059566656,16.856448910403913,-8.5491400055114468,-84.765906753239335,-0.50141085083924963,-45.263483539615493,-179.54970160593513
4372,-5.8526587544247377,-16.187976393305689,-47.193929309950363,-51.772545631133653,-64.901006893586782,-104.28639068095163,-28.516859667816789,-47.060048739159356,-102.6896159531525,-8.3138591379947684,-34.392326404254163,-112.62772820298869
4373,-75.2657784794348,-86.283261375390055,-119.335710063254,6.7678601714695219,-5.8686855457337401,-43.778322697303508,31.139481724866357,17.028735654691275,-25.303502555850343,10.788159194892444,-12.642727764901053,-82.935388644401598
4374,-27.757922900318306,-36.051772316653739,-60.933320565662768,21.899051232600016,11.38775301983884,-20.146141618448553,1.1508799491069226,-23.71574626348837,-98.315624901279705,16.790590486648682,-24.331677428281807,-147.69848117303872
4375,153.3583338478129,146.29868778778928,125.11974960772932,66.796687205726812,54.46108701014964,17.454286423418125,62.274418906053143,39.100677205235115,-30.42054789719441,39.7091020326734,-5.4700523093724769,-141.00751533552466
4376,155.62167540571591,147.08352818993626,121.46908654259914,92.485906368173346,79.028347095531899,38.655669277612105,34.262935585988089,7.7989981188093225,-71.592814282696054,12.924792356447142,-36.425086190352886,-184.47472183073751
4377,-48.142183855734402,-56.551122974947248,-81.777940332585786,4.524874079830397,-5.0998880210443076,-33.974174323672003,9.0348962935752493,-9.669176792400517,-65.781396050320481,0.75388513458548345,-32.829667720930594,-133.58032628748819
4378,54.175277401122003,46.068079940902862,21.74648756024726,14.2340845824192,1.9991903250606811,-34.705492447011238,20.336346309597815,1.9193907275393656,-53.331476018633253,10.79186291910268,-21.629891370223593,-118.89515423823129
4379,-41.90277316475391,-47.059782928846687,-62.530812221121607,-32.561294375141387,-38.774336806208495,-57.413464099407975,-10.000973504868968,-18.452445959485807,-43.806863323327804,0.043269738954911111,-13.533332149554168,-54.263137815078615
4380,49.227927530933471,39.659326481386984,10.953523332749342,6.2828530313378224,-9.2650754423287935,-55.908860863339555,19.417488455857551,-2.3158975054778921,-67.516055389484222,-1.2416175881993468,-36.89916031399332,-143.87178849141162
4381,13.283454135813486,8.0279706250736353,-7.7384799071431871,38.107474417413528,27.782163446910204,-3.1937694645974943,-9.1662238154011675,-35.048813670335107,-112.69658323512601,-28.336627514051429,-76.654035569169423,-221.60625973453068
4382,-99.114387353774092,-104.2427913107722,-119.6280031817637,-7.1945605758501365,-13.202838972553506,-31.227674162663401,4.8441979439448177,-3.0410559675546205,-26.696817702047884,-3.0333141931416745,-16.858735951165318,-58.33500122522485
4383,99.373047925224569,89.886254247685542,61.425873215072102,47.724781351873503,36.235918032258382,1.7693280734202972,14.792883896785611,-5.4514583590861321,-66.18448512672137,17.192285543769799,-15.320849943542157,-112.86025640542709
4384,9.8444680413276728,2.0678546757699223,-21.261985420896053,19.919632912612542,6.4089200111748141,-34.123218693158378,20.239950834290539,-0.39380575510313065,-62.295075523287778,-5.6013856602794476,-42.170623142478689,-151.87833558909097
4385,-31.799155627972482,-41.838184832970342,-71.955272447953007,9.3066648101699911,-2.3992342845834855,-37.516931568865743,-1.2606361083566071,-17.347069922785863,-65.606371366042708,-4.3696996636757603,-28.78023678273928,-102.01184813985708
4386,13.713210484447359,8.5283927285303207,-7.0260605392195998,23.977871821243877,17.191961407563941,-3.1657698334711815,15.900695235516073,3.8980704685061767,-32.109803832527888,7.4827867111599149,-14.812971008939435,-81.700244169234992
4387,-70.840003550076702,-75.982544698976326,-91.410168145673282,-134.81006160609965,-142.33519238343027,-164.91058471541888,-43.491857719152925,-53.008841008394924,-81.559790876121568,-9.740715069185196,-22.638691566958411,-61.332621060258866
