month,BusEq,RF,excess,fitted,residual,wealth_BusEq,wealth_market
202309,-0.0791,0.0043,-0.0834,-0.05983788112707276,-0.023562118872927244,4.714261753065114,2.397956354964648
202310,-0.0388,0.004699999999999999,-0.0435,-0.02949543671902151,-0.014004563280978488,4.531348397046187,2.3336911246515957
202311,0.1213,0.0044,0.1169,0.1060998885538299,0.010800111446170102,5.081000957607889,2.5511911374691243
202312,0.0629,0.0043,0.0586,0.04243812807005547,0.016161871929944532,5.400595917841425,2.685894029527494
202401,0.0234,0.004699999999999999,0.0187,0.027075222461546818,-0.008375222461546816,5.526969862318915,2.718124757881824
202402,0.0798,0.0042,0.0756,0.07997734915698296,-0.004377349156982957,5.968022057331965,2.867349807089536
202403,0.0295,0.0043,0.0252,0.026194275292942996,-0.0009942752929429956,6.144078708023259,2.961112145781364
202404,-0.0353,0.004699999999999999,-0.039999999999999994,-0.045676210235317094,0.0056762102353171,5.927192729630038,2.8373376580877028
202405,0.134,0.0044,0.12960000000000002,0.06282921204527193,0.06677078795472809,6.721436555400462,2.9726786643784857
202406,0.0777,0.0040999999999999995,0.0736,0.054264634079302064,0.019335365920697935,7.243692175755079,3.068101649505035
202407,0.0033,0.0045000000000000005,-0.0012000000000000005,-0.0036898725679132514,0.002489872567913251,7.267596359935071,3.119338947051769
202408,0.0146,0.0048,0.0098,0.03188395396619144,-0.02208395396619144,7.373703266790123,3.1842211971504457
202409,0.0224,0.004,0.0184,0.03740925952646921,-0.01900925952646921,7.538874219966222,3.2517266865300356
202410,0,0.0039000000000000003,-0.0039000000000000003,-0.008169476718392896,0.004269476718392895,7.538874219966222,3.2318911537422026
202411,0.035,0.004,0.031000000000000003,0.07984791159781582,-0.04884791159781582,7.802734817665039,3.4545684542350403
202412,0.025,0.0037,0.0213,-0.018411999232252483,0.03971199923225248,7.997803188106664,3.3578405375164593
202501,-0.0444,0.0037,-0.048100000000000004,0.03445278004438707,-0.08255278004438707,7.642700726554728,3.4642840825557313
202502,-0.0074,0.0033,-0.010700000000000001,-0.03732617992356019,0.026626179923560186,7.586144741178224,3.3911876884138055
202503,-0.0982,0.0034000000000000002,-0.1016,-0.07866451278172631,-0.02293548721827368,6.8411853275945225,3.18602083326477
202504,-0.0117,0.0034999999999999996,-0.0152,0.00930200668893134,-0.024502006688931342,6.761143459261667,3.170409331181773
202505,0.0929,0.0038,0.0891,0.08893176478250057,0.00016823521749942394,7.389253686627075,3.374583692109879
202506,0.108,0.0034000000000000002,0.1046,0.06940912773558758,0.03519087226441242,8.1872930847828,3.550062044099593
202507,0.0613,0.0034000000000000002,0.0579,0.0350341403215409,0.022865859678459097,8.689174150879985,3.632423483522704
202508,0.034,0.0038,0.0302,0.009913703292631262,0.02028629670736874,8.984606072009905,3.713063284856908
202509,0.0815,0.0033,0.0782,0.051936945561019084,0.026263054438980922,9.716851466878712,3.851189239053585
202510,0.0917,0.0037,0.08800000000000001,0.042207163113814,0.04579283688618601,10.607886746391488,3.940921948323534
202511,-0.0288,0.003,-0.0318,-0.009297334652157572,-0.02250266534784243,10.302379608095412,3.9476215156356838
202512,-0.0066,0.0034000000000000002,-0.01,-0.0061021346240304865,-0.0038978653759695137,10.234383902681982,3.9468319913325565
