month,date,close,adjusted_close,nominal_value,cpi_u_nsa,real_value,equivalent_annualized_value
2020-07,2020-07-31,300.1000061035156,275.3426513671875,17557.016733055323,259.101,16027.237960432072,18822.643896515267
2020-08,2020-08-31,321.0199890136719,294.5367126464844,18780.911590545114,259.918,17090.60208971169,19040.345257007335
2020-09,2020-09-30,307.6499938964844,283.4731750488281,18075.453450426452,260.28,16425.75928754463,19260.56453595021
2020-10,2020-10-30,299.82000732421875,276.2584533691406,17615.41215778382,260.388,16001.06518203534,19483.330855409607
2020-11,2020-11-30,332.6400146484375,306.499267578125,19543.694893684093,260.229,17763.47922302522,19708.67367427497
2020-12,2020-12-31,343.69000244140625,317.97589111328125,20275.49314740617,260.474,18411.284875612328,19936.622792155173
2021-01,2021-01-29,340.17999267578125,314.72845458984375,20068.42280396892,261.582,18146.063963532462,20167.208353319234
2021-02,2021-02-26,349.5899963378906,323.43450927734375,20623.557822348233,263.014,18546.491874694562,20400.460850682655
2021-03,2021-03-31,364.29998779296875,338.2323913574219,21567.13362509316,264.877,19258.622986046958,20636.411129839824
2021-04,2021-04-30,383.57000732421875,356.12353515625,22707.948931003146,267.054,20112.02835720686,20875.090393143073
2021-05,2021-05-28,386.1300048828125,358.5003662109375,22859.505772602468,269.195,20085.23413460428,21116.53020382894
2021-06,2021-06-30,393.5199890136719,366.6007385253906,23376.019910759635,271.696,20349.99819427751,21360.76249019209
2021-07,2021-07-30,403.1499938964844,375.572021484375,23948.067010058516,273.003,20748.18426740399,21607.81954980759
2021-08,2021-08-31,415.04998779296875,386.6579895019531,24654.955409005375,273.567,21316.58178111759,21857.734053801953
2021-09,2021-09-30,394.3999938964844,368.6255187988281,23505.128499512546,274.31,20267.40008875799,22110.539051173622
2021-10,2021-10-29,422.1600036621094,394.5714416503906,25159.55072359421,276.589,21515.18221945963,22366.2679731634
2021-11,2021-11-30,419.05999755859375,391.6739807128906,24974.79630973763,277.948,21252.76561500962,22624.954637675466
2021-12,2021-12-31,436.57000732421875,409.5352783203125,26113.70849573744,278.802,22153.87587590583,22886.63325374943
2022-01,2022-01-31,413.69000244140625,388.0720520019531,24745.12203902369,281.148,20817.647610084645,23151.338426084258
2022-02,2022-02-28,401.3599853515625,376.5056457519531,24007.598858128054,283.716,20014.371131408654,23419.105159614388
2022-03,2022-03-31,415.1700134277344,390.7721252441406,24917.290175192113,287.504,20499.061086758145,23689.968864138846
2022-04,2022-04-29,378.70001220703125,356.4453125,22728.46682091408,289.109,18594.546052930567,23963.96535900387
2022-05,2022-05-31,379.67999267578125,357.36773681640625,22787.284512534712,292.296,18439.398655223722,24241.130877839703
2022-06,2022-06-30,346.8800048828125,327.8330993652344,20904.030605592994,296.311,16686.271650353458,24521.502073352196
2022-07,2022-07-29,378.7900085449219,357.9910583496094,22827.03014051563,296.276,18223.42445552613,24805.116022169776
2022-08,2022-08-31,363.1499938964844,343.20977783203125,21884.512923896607,296.171,17477.1818284864,25092.010229746516
2022-09,2022-09-30,328.29998779296875,311.6383056640625,19871.38178570247,296.808,15835.417431010204,25382.222635321905
2022-10,2022-10-31,354.95001220703125,336.93585205078125,21484.460772962466,298.012,17051.70289896027,25675.791616937982
2022-11,2022-11-30,374.489990234375,355.484130859375,22667.177797712753,297.711,18008.586275293856,25972.755996514486
2022-12,2022-12-30,351.3399963378906,335.106201171875,21367.7944630497,296.797,17028.53325799395,26273.155044982723
2023-01,2023-01-31,373.44000244140625,356.18505859375,22711.871926646207,299.17,17956.09689290368,26577.02848747879
2023-02,2023-02-28,364.1099853515625,347.28619384765625,22144.442520135515,300.84,17410.298720499446,26884.416508596893
2023-03,2023-03-31,376.07000732421875,360.17041015625,22965.99486663566,301.836,17996.633721063758,27195.35975770338
2023-04,2023-04-28,382.04998779296875,365.8975830078125,23331.18372890855,303.363,18190.77551145029,27509.899354312296
2023-05,2023-05-31,383.8900146484375,367.6597900390625,23443.54953268482,304.127,18232.467203563898,27828.07689352305
2023-06,2023-06-30,407.2799987792969,391.59405517578125,24969.69991807633,305.109,19356.879912172386,28149.934451521018
2023-07,2023-07-31,420.67999267578125,404.4779052734375,25791.228913411935,305.691,19955.675563705696,28475.51459114174
2023-08,2023-08-31,413.8299865722656,397.8917236328125,25371.26600284495,307.026,19545.376259088487,28804.86036749949
2023-09,2023-09-29,392.70001220703125,379.0159606933594,24167.667199202948,307.789,18572.00057276731,29138.015333680913
2023-10,2023-10-31,384.1700134277344,370.78326416015625,23642.715506924593,307.671,18175.561834801912,29475.023546504584
2023-11,2023-11-30,419.3999938964844,404.7855529785156,25810.845837557623,307.051,19882.39840198637,29815.92957234709
2023-12,2023-12-29,436.79998779296875,423.3191833496094,26992.62881572623,306.746,20813.414129734854,30160.77849303656
2024-01,2024-01-31,443.82000732421875,430.12249755859375,27426.437020936264,308.417,21033.33479145751,30509.615911814348
2024-02,2024-02-29,466.92999267578125,452.51922607421875,28854.547541998043,310.326,21992.42685875849,30862.487959365644
2024-03,2024-03-28,480.70001220703125,467.3623962402344,29801.01110542467,312.332,22567.92180023363,31219.44129991988
2024-04,2024-04-30,461.42999267578125,448.6271057128906,28606.369419314917,313.548,21579.220811178704,31580.523137421627
2024-05,2024-05-31,484.6199951171875,471.1736755371094,30044.03445853514,314.069,22626.12753982413,31945.781221772922
2024-06,2024-06-28,500.1300048828125,487.98114013671875,31115.749776704488,314.175,23425.328927938343,32315.26385514779
2024-07,2024-07-31,505.92999267578125,493.6402282714844,31476.597268302936,314.54,23669.492493435973,32689.019898379753
2024-08,2024-08-30,518.0399780273438,505.4560241699219,32230.022592251695,314.796,24216.33722675108,33067.09877742324
2024-09,2024-09-30,527.6699829101562,516.4562377929688,32931.44292683496,315.301,24703.726084819395,33449.55048988981
2024-10,2024-10-31,522.6699829101562,511.56243896484375,32619.393531338235,315.664,24441.501264001523,33836.425611659775
2024-11,2024-11-29,553.4500122070312,541.6884765625,34540.357623084965,315.493,25894.89493205926,34227.77530357052
2024-12,2024-12-31,538.8099975585938,529.0474243164062,33734.31044984073,315.605,25281.62665087238,34623.65131818202
2025-01,2025-01-31,553.3300170898438,543.3043823242188,34643.39463662669,317.671,25794.0728503015,35024.1060066207
2025-02,2025-02-28,546.3300170898438,536.4312133789062,34205.132196780265,319.082,25355.140349012017,35429.19232550234
2025-03,2025-03-31,513.9099731445312,506.3480529785156,32286.902137215333,319.799,23879.560373875018,35838.96384393525
2025-04,2025-04-30,509.739990234375,502.2393798828125,32024.915692566352,320.795,23612.254505787983,36253.47475060417
2025-05,2025-05-30,541.760009765625,533.788330078125,34036.610734141155,321.465,25043.19087270072,36672.779860936316
2025-06,2025-06-30,568.030029296875,561.3995971679688,35797.22237897773,322.561,26249.106442464235,37096.93462435029
2025-07,2025-07-31,581.02001953125,574.2379760742188,36615.85193804936,323.048,26808.90882979348,37525.99513158867
2025-08,2025-08-29,593.0800170898438,586.1572265625,37375.87396598124,323.976,27286.9860415701,37960.018122135596
2025-09,2025-09-30,612.3800048828125,606.9628295898438,38702.52756896864,324.8,28183.85262700218,38399.060991720056
2025-10,2025-10-31,627.0399780273438,621.4931030273438,39629.03950822447,,,38843.18179990593
2025-11,2025-11-28,628.4099731445312,622.8510131835938,39715.625626346344,324.122,28982.106587246682,39292.439277769896
2025-12,2025-12-31,627.1300048828125,623.3413696289062,39746.89283566813,324.054,29011.009979683648,39746.892835668106
