date,VOO,AMZN,GOOGL,RF
2024-11-12,537.0882568,208.9100037,180.3535461,0.0002
2024-11-13,537.3623047,214.1000061,177.6326447,0.0002
2024-11-14,533.9464722,211.4799957,174.3556519,0.0002
2024-11-15,527.0560913,202.6100006,171.2872009,0.0002
2024-11-18,529.2385864,201.6999969,174.0776062,0.0002
2024-11-19,531.166748,204.6100006,176.8779449,0.0002
2024-11-20,531.3625488,202.8800049,174.7528534,0.0002
2024-11-21,534.0443726,198.3800049,166.4610901,0.0002
2024-11-22,535.8353271,197.1199951,163.6110992,0.0002
2024-11-25,537.5579834,201.4499969,166.480957,0.0002
2024-11-26,540.5726318,207.8600006,167.9406891,0.0002
2024-11-27,538.8499756,205.7400055,168.0499115,0.0002
2024-11-29,541.6884155,207.8899994,167.7718658,0.0002
2024-12-02,543.2151489,210.7100067,170.2941742,0.0002
2024-12-03,543.3424683,213.4400024,170.1452179,0.0002
2024-12-04,546.7681885,218.1600037,173.1540833,0.0002
2024-12-05,545.8578491,220.5500031,171.436142,0.0002
2024-12-06,546.9441528,227.0299988,173.491745,0.0002
2024-12-09,544.0961304,226.0899963,174.3466949,0.0002
2024-12-10,542.5496826,225.0399933,184.0895233,0.0002
2024-12-11,546.6604614,230.2599945,194.2598267,0.0002
2024-12-12,543.8416138,228.9700012,190.8399048,0.0002
2024-12-13,543.8024292,227.4600067,188.7123871,0.0002
2024-12-16,545.9361572,232.9299927,195.5124817,0.0002
2024-12-17,543.645874,231.1499939,194.2796936,0.0002
2024-12-18,527.6824341,220.5200043,187.3006592,0.0002
2024-12-19,527.4866333,223.2899933,187.4100037,0.0002
2024-12-20,533.4570923,224.9199982,190.2930908,0.0002
2024-12-23,537.2755737,225.0599976,193.4943237,0.0002
2024-12-24,542.8035889,229.0500031,194.9656677,0.0002
2024-12-26,542.7938232,227.0500031,194.4586639,0.0002
2024-12-27,537.1676025,223.75,191.6352386,0.0002
2024-12-30,531.1878662,221.3000031,190.1240997,0.0002
2024-12-31,529.0474243,219.3899994,188.1954498,0.0002
2025-01-02,527.7219238,220.2200012,188.3246613,0.0002
2025-01-03,534.5361328,224.1900024,190.6708984,0.0002
2025-01-06,537.6487427,227.6100006,195.7212524,0.0002
2025-01-07,531.6003418,222.1100006,194.3493042,0.0002
2025-01-08,532.3170776,222.1300049,192.8182983,0.0002
2025-01-10,524.2165527,218.9400024,190.9194183,0.0002
2025-01-13,524.894165,218.4600067,189.8954163,0.0002
2025-01-14,525.5617676,217.7599945,188.5533142,0.0002
2025-01-15,535.1743164,223.3500061,194.4089355,0.0002
2025-01-16,534.3790894,220.6600037,191.7843475,0.0002
2025-01-17,539.5044556,225.9400024,194.8562927,0.0002
2025-01-21,544.4140015,230.7100067,196.8943634,0.0002
2025-01-22,547.5068359,235.0099945,197.2124939,0.0002
2025-01-23,550.5408936,235.4199982,196.8247833,0.0002
2025-01-24,548.8814697,234.8500061,199.041748,0.0002
2025-01-27,541.2423096,235.4199982,190.6907654,0.0002
2025-01-28,545.7786255,238.1499939,194.1604156,0.0002
2025-01-29,543.3828125,237.0700073,194.2697601,0.0002
2025-01-30,546.22052,234.6399994,199.697876,0.0002
2025-01-31,543.3043823,237.6799927,202.8295441,0.0002
2025-02-03,539.7401123,237.4199982,200.0557861,0.0002
2025-02-04,543.3239746,242.0599976,205.1757507,0.0002
2025-02-05,545.5529175,236.1699982,190.2135773,0.0002
2025-02-06,547.5166626,238.8300018,190.4819946,0.0002
2025-02-07,542.1948853,229.1499939,184.2585144,0.0002
2025-02-10,546.0733032,233.1399994,185.3819275,0.0002
2025-02-11,546.564209,232.7599945,184.2386627,0.0002
2025-02-12,544.7575073,228.9299927,182.5386353,0.0002
2025-02-13,550.5113525,230.3699951,185.0538635,0.0002
2025-02-14,550.5310059,228.6799927,184.1491394,0.0002
2025-02-18,552.1216431,226.6499939,182.6976776,0.0002
2025-02-19,553.4569702,226.6300049,184.1889496,0.0002
2025-02-20,551.1299438,222.8800049,183.483078,0.0002
2025-02-21,541.7529297,216.5800018,178.6116791,0.0002
2025-02-24,539.1903687,212.7100067,178.2040558,0.0002
2025-02-25,536.5097656,212.8000031,174.3964081,0.0002
2025-02-26,536.8436279,214.3500061,171.7221069,0.0002
2025-02-27,528.2226562,208.7400055,167.5167999,0.0002
2025-02-28,536.4312134,212.2799988,169.286377,0.0002
2025-03-03,527.1916504,205.0200043,166.0354767,0.0002
2025-03-04,520.8389282,203.8000031,169.9226837,0.0002
2025-03-05,526.6811523,208.3600006,172.0104218,0.0002
2025-03-06,517.1274414,200.6999969,171.3443298,0.0002
2025-03-07,519.9159546,199.25,172.84552,0.0002
2025-03-10,506.1696167,194.5399933,165.092041,0.0002
2025-03-11,502.0162659,196.5899963,163.2706299,0.0002
2025-03-12,504.451355,198.8899994,166.3262482,0.0002
2025-03-13,497.8628845,193.8899994,161.9966431,0.0002
2025-03-14,508.084259,197.9499969,164.7138367,0.0002
2025-03-17,511.9627075,195.7400055,163.519455,0.0002
2025-03-18,506.5622864,192.8200073,159.9164276,0.0002
2025-03-19,511.8842468,195.5399933,163.1213379,0.0002
2025-03-20,510.7059021,194.9499969,162.0364532,0.0002
2025-03-21,510.8335876,196.2100067,163.2208557,0.0002
2025-03-24,519.7981567,203.2599945,166.8935547,0.0002
2025-03-25,521.0352783,205.7100067,169.7600403,0.0002
2025-03-26,514.9574585,201.1300049,164.2858429,0.0002
2025-03-27,513.5405884,201.3600006,161.4790802,0.0002
2025-03-28,503.283783,192.7200012,153.6062012,0.0002
2025-03-31,506.3480225,190.2599945,153.9147186,0.0002
2025-04-01,508.2102051,192.1699982,156.3333282,0.0002
2025-04-02,511.2744751,196.0099945,156.3034668,0.0002
2025-04-03,486.8886414,178.4100037,150.0131226,0.0002
2025-04-04,458.6700439,171,144.9171295,0.0002
2025-04-07,456.7388916,175.2599945,146.0617371,0.0002
2025-04-08,450.0192261,170.6600037,144.021347,0.0002
2025-04-09,491.7559509,191.1000061,157.9656219,0.0002
2025-04-10,474.9667053,181.2200012,152.1032562,0.0002
2025-04-11,483.3317566,184.8699951,156.4029999,0.0002
2025-04-14,488.189209,182.1199951,158.3239594,0.0002
2025-04-15,486.8196716,179.5899963,155.576889,0.0002
2025-04-16,476.1194763,174.3300018,152.6108551,0.0002
2025-04-17,476.7796326,172.6100006,150.4510345,0.0002
2025-04-21,465.419281,167.3200073,146.9774017,0.0002
2025-04-22,477.1639404,173.1799927,150.7595825,0.0002
2025-04-23,484.8294067,180.6000061,154.6214142,0.0002
2025-04-24,495.0172119,186.5399933,158.5329437,0.0002
2025-04-25,498.6627808,188.9900055,161.2004089,0.0002
2025-04-28,498.9682617,187.6999969,159.8567047,0.0002
2025-04-29,501.9930115,187.3899994,159.408844,0.0002
2025-04-30,502.2393799,184.4199982,158.055191,0.0002
2025-05-01,505.7962646,190.1999969,160.5434723,0.0002
2025-05-02,513.0479736,189.9799957,163.2606812,0.0002
2025-05-05,510.3680115,186.3500061,163.4398499,0.0002
2025-05-06,506.0229187,185.0099945,162.4644165,0.0002
2025-05-07,508.3087769,188.7100067,150.6700134,0.0002
2025-05-08,511.6981506,192.0800018,153.556427,0.0002
2025-05-09,511.0183411,193.0599976,152.0335693,0.0002
2025-05-12,528.0341187,208.6399994,157.7168121,0.0002
