month,BusEq_percent,return_decimal,loss_decimal,source_line
201905,-11.62,-0.1162,0.1162,1127
201906,11.16,0.1116,-0.1116,1128
201907,3.26,0.0326,-0.0326,1129
201908,-3.11,-0.0311,0.0311,1130
201909,4.23,0.0423,-0.0423,1131
201910,5.09,0.0509,-0.0509,1132
201911,5.02,0.0502,-0.0502,1133
201912,6.32,0.0632,-0.0632,1134
202001,0.97,0.0097,-0.0097,1135
202002,-9.02,-0.0902,0.0902,1136
202003,-8.65,-0.0865,0.0865,1137
202004,13.97,0.1397,-0.1397,1138
202005,8.02,0.0802,-0.0802,1139
202006,6.63,0.0663,-0.0663,1140
202007,9.52,0.0952,-0.0952,1141
202008,11.76,0.1176,-0.1176,1142
202009,-5.14,-0.0514,0.0514,1143
202010,-3.18,-0.0318,0.0318,1144
202011,11.73,0.1173,-0.1173,1145
202012,7.21,0.0721,-0.0721,1146
202101,1.26,0.0126,-0.0126,1147
202102,-1.90,-0.0190,0.0190,1148
202103,1.69,0.0169,-0.0169,1149
202104,4.07,0.0407,-0.0407,1150
202105,-0.76,-0.0076,0.0076,1151
202106,7.42,0.0742,-0.0742,1152
202107,3.59,0.0359,-0.0359,1153
202108,4.03,0.0403,-0.0403,1154
202109,-5.82,-0.0582,0.0582,1155
202110,7.15,0.0715,-0.0715,1156
202111,8.76,0.0876,-0.0876,1157
202112,4.38,0.0438,-0.0438,1158
202201,-7.72,-0.0772,0.0772,1159
202202,-2.66,-0.0266,0.0266,1160
202203,4.35,0.0435,-0.0435,1161
202204,-12.41,-0.1241,0.1241,1162
202205,-0.86,-0.0086,0.0086,1163
202206,-10.18,-0.1018,0.1018,1164
202207,15.79,0.1579,-0.1579,1165
202208,-5.86,-0.0586,0.0586,1166
202209,-11.67,-0.1167,0.1167,1167
202210,8.83,0.0883,-0.0883,1168
202211,5.19,0.0519,-0.0519,1169
202212,-9.11,-0.0911,0.0911,1170
202301,9.85,0.0985,-0.0985,1171
202302,1.36,0.0136,-0.0136,1172
202303,9.85,0.0985,-0.0985,1173
202304,-1.83,-0.0183,0.0183,1174
202305,8.26,0.0826,-0.0826,1175
202306,8.02,0.0802,-0.0802,1176
202307,3.49,0.0349,-0.0349,1177
202308,-1.52,-0.0152,0.0152,1178
202309,-7.91,-0.0791,0.0791,1179
202310,-3.88,-0.0388,0.0388,1180
202311,12.13,0.1213,-0.1213,1181
202312,6.29,0.0629,-0.0629,1182
202401,2.34,0.0234,-0.0234,1183
202402,7.98,0.0798,-0.0798,1184
202403,2.95,0.0295,-0.0295,1185
202404,-3.53,-0.0353,0.0353,1186
202405,13.40,0.1340,-0.1340,1187
202406,7.77,0.0777,-0.0777,1188
202407,0.33,0.0033,-0.0033,1189
202408,1.46,0.0146,-0.0146,1190
202409,2.24,0.0224,-0.0224,1191
202410,0.00,0.0000,-0.0000,1192
202411,3.50,0.0350,-0.0350,1193
202412,2.50,0.0250,-0.0250,1194
202501,-4.44,-0.0444,0.0444,1195
202502,-0.74,-0.0074,0.0074,1196
202503,-9.82,-0.0982,0.0982,1197
202504,-1.17,-0.0117,0.0117,1198
202505,9.29,0.0929,-0.0929,1199
202506,10.80,0.1080,-0.1080,1200
202507,6.13,0.0613,-0.0613,1201
202508,3.40,0.0340,-0.0340,1202
202509,8.15,0.0815,-0.0815,1203
202510,9.17,0.0917,-0.0917,1204
202511,-2.88,-0.0288,0.0288,1205
202512,-0.66,-0.0066,0.0066,1206
